REGISTROS_VISITANTES	PRIMARY	id	NULL	NULL
REGISTROS_VISITANTES	REGISTROS_VISITANTES_ibfk_1	id_tour	TOURS	id
REGISTROS_VISITANTES	unique_hash	hash_unico	NULL	NULL
RESUMEN_FINANCIERO	PRIMARY	id_resumen_financiero	NULL	NULL
RESUMEN_FINANCIERO_MES	PRIMARY	id_resumen_financiero_mes	NULL	NULL
ROLES_CONDOMINAL	PRIMARY	id_roles_condominal	NULL	NULL
ROLES_CONDOMINAL_HAS_CAT_MODULOS	PRIMARY	id_roles_condominal_has_cat_modulos	NULL	NULL
ROLES_CONDOMINAL_HAS_CAT_MODULOS	ROLES_CONDOMINAL_HAS_CAT_MODULOS_ibfk_1	id_cat_modulos	CAT_MODULOS	id_cat_modulos
ROLES_CONDOMINAL_HAS_CAT_MODULOS	ROLES_CONDOMINAL_HAS_CAT_MODULOS_ibfk_2	id_roles_condominal	ROLES_CONDOMINAL	id_roles_condominal
TAREAS	fk_TAREAS_TEMAS1	id_temas	TEMAS	id_temas
TAREAS	PRIMARY	id_tareas	NULL	NULL
TAREAS_ASIGNACIONES	fk_TAREAS_ASIGNACIONES_TAREAS1	id_tareas	TAREAS	id_tareas
TAREAS_ASIGNACIONES	PRIMARY	id_tareas_asignaciones	NULL	NULL
TEMAS	PRIMARY	id_temas	NULL	NULL
TICKETS	fk_TICKETS_DIRECTORIO1	id_directorio	DIRECTORIO	id_directorio
TICKETS	fk_TICKETS_TICKETS_DEPARTAMENTOS1	id_tickets_departamentos	TICKETS_DEPARTAMENTOS	id_tickets_departamentos
TICKETS	PRIMARY	id_tickets	NULL	NULL
TICKETS_DEPARTAMENTOS	PRIMARY	id_tickets_departamentos	NULL	NULL
TOURS	PRIMARY	id	NULL	NULL
VOTACIONES_CONVOCATORIAS	PRIMARY	id_votaciones_convocatorias	NULL	NULL
